A1,A12,A13,A14,A15,A25,A26,A33,A34,A38,A39,A40,A43,A45,A46,A48,A58,A65,A67,A69,A70,A72,A74
16.54333333,1.263333333,2.11,20.27,8.736666667,19.37,5.67,0.41,0,0.283333333,0.18,0.6,0.74,0.703333333,0.533333333,0,0.453333333,0.68,7.73,0,3.69,0.036666667,0
0,1.293333333,2.516666667,16.81,12.21333333,21.31666667,3.753333333,0.85,0.136666667,0.556666667,0.253333333,0.823333333,2.11,1.236666667,0.46,2.36,0.98,1.07,13.38,0.036666667,5.793333333,0.18,0.7
9.526666667,0.69,1.78,17.37,18.38333333,11.44333333,2.07,0.79,0.183333333,0.37,0.27,0.66,1.483333333,1.18,0.46,2.4,0.973333333,0.99,12.22,0.03,4.05,0.11,0.41
20.61,0.57,1.863333333,15.24666667,9.06,14,1.883333333,0.536666667,0.16,0.473333333,0.26,0.57,1.536666667,1.026666667,0.323333333,2.74,0.926666667,0.76,10.96666667,0,4.163333333,0.126666667,0.533333333
6.876666667,1.016666667,2.386666667,15.71,19.18666667,17.21,5.69,0.85,0,0.593333333,0.243333333,1.396666667,1.796666667,1.226666667,0.6,2.89,0.956666667,0.796666667,9.7,0.02,2.216666667,0.063333333,0.28
16.19,1.34,1.55,16.07666667,10.17,15.21,1.753333333,0.8,0.146666667,0.353333333,0.156666667,0.813333333,1.096666667,0.926666667,0.476666667,1.906666667,0.723333333,1.063333333,11.53,0.026666667,5.116666667,0.136666667,0.513333333
15.45333333,0.95,2.003333333,14.86666667,15.73,12.23666667,4.996666667,0.586666667,0.113333333,0.32,0.18,0.783333333,1.353333333,0.913333333,0.383333333,1.693333333,1.056666667,0.973333333,12.36,0.033333333,4.186666667,0.126666667,0.563333333
13.61333333,0.98,2.736666667,16.26,10.90666667,16.99666667,2.37,0.546666667,0.113333333,0.523333333,0.23,0.923333333,1.453333333,1.01,0.51,2.066666667,0.896666667,0.733333333,9.403333333,0.03,3.653333333,0.086666667,0.566666667
20.81666667,0.663333333,2.223333333,15.46333333,13.97,11.59666667,1.336666667,0.54,0.166666667,0.31,0.163333333,0.733333333,1.536666667,1.173333333,0.29,3.266666667,1.106666667,0.533333333,11.23666667,0.02,2.69,0.07,0.323333333
16.42333333,0.75,1.866666667,14.00333333,14.73333333,11.93666667,0.913333333,0.683333333,0.353333333,0.4,0.236666667,0.843333333,1.643333333,1.14,0.283333333,5.05,1.253333333,0.6,11.73,0.013333333,1.87,0.06,0.2
8.676666667,0.813333333,2.243333333,16.26666667,14.35666667,13.47333333,1.4,0.68,0.303333333,0.58,0,0.966666667,1.516666667,1.263333333,0.35,3.983333333,1.29,0.783333333,13.07333333,0,3.843333333,0.136666667,0.65
22.58,0.813333333,2.003333333,14.89,8.37,17.52666667,6.593333333,0.453333333,0.163333333,0.326666667,0.41,0.686666667,1.4,0.956666667,0.37,1.606666667,0.723333333,0.49,8.01,0.013333333,2.4,0.086666667,0.343333333
15.40666667,0.756666667,1.883333333,14.94,17.13333333,16.94333333,2.773333333,0.11,0,0.353333333,0.23,0.836666667,1.97,1.136666667,0.49,1.643333333,1.063333333,0.633333333,10.79333333,0.023333333,2.813333333,0.09,0.383333333
21.49,0.796666667,1.983333333,11.72666667,14.55333333,14.72333333,6.763333333,0.403333333,0,0.726666667,0.313333333,0.84,1.843333333,1,0.47,1.45,0.966666667,0.773333333,8.353333333,0.02,1.416666667,0,0.366666667
16.93,0.473333333,3.35,12.80333333,11.8,11.19333333,6.9,0,0.163333333,0.423333333,0.196666667,2.223333333,1.37,1.996666667,0.266666667,1.896666667,0.643333333,0.59,11.81666667,0.016666667,4.116666667,0.136666667,0.44
21.06666667,1.03,2.83,13.28,17.58333333,9.086666667,6.166666667,0,0.143333333,0.27,0.15,1.986666667,1.256666667,1.58,0.233333333,0.413333333,0.653333333,0.406666667,9.993333333,0.02,2.586666667,0.103333333,0.326666667
